epoch;column1;column2;column3;column4;column5;column6;column7;column8;column9;column10;column11;column12;column13
1614421396;1.00;1.00;;;;26.06;35.49;99372.00;0.00;;;;
1614421406;1.00;1.00;;;;26.07;35.49;99372.00;0.00;;;;
1614421416;1.00;1.00;;;;26.06;35.46;99374.00;0.00;;;;
1614421426;1.00;1.00;;;;26.06;35.45;99375.00;0.00;;;;
1614421436;1.00;1.00;;;;26.06;35.44;99376.00;0.00;;;;
1614421446;1.00;1.00;;;;26.05;35.42;99373.00;0.00;;;;
1614421456;1.00;1.00;;;;26.06;35.47;99376.00;0.00;;;;
1614421466;1.00;1.00;;;;26.05;35.44;99375.00;0.00;;;;
1614421476;1.00;1.00;;;;26.04;35.47;99374.00;0.00;;;;
1614421486;1.00;1.00;;;;26.03;35.46;99376.00;0.00;;;;
1614421496;1.00;1.00;;;;26.03;35.46;99372.00;0.00;;;;
1614421506;1.00;1.00;;;;26.03;35.47;99372.00;0.00;;;;
1614421516;1.00;1.00;;;;26.03;35.49;99374.00;0.00;;;;
1614421526;1.00;1.00;;;;26.02;35.47;99375.00;0.00;;;;
1614421536;1.00;1.00;;;;26.03;35.43;99372.00;0.00;;;;
1614421546;1.00;1.00;;;;26.03;35.47;99373.00;0.00;;;;
1614421556;1.00;1.00;;;;26.03;35.47;99374.00;0.00;;;;
1614421566;1.00;1.00;;;;26.02;35.43;99373.00;0.00;;;;
1614421576;1.00;1.00;;;;26.02;35.42;99372.00;0.00;;;;
1614421586;1.00;1.00;;;;26.02;35.46;99372.00;0.00;;;;
1614421596;1.00;1.00;;;;26.02;35.46;99371.00;0.00;;;;
1614421606;1.00;1.00;;;;26.01;35.47;99367.00;0.00;;;;
1614421616;1.00;1.00;;;;26.01;35.41;99369.00;0.00;;;;
1614421626;1.00;1.00;;;;26.00;35.46;99369.00;0.00;;;;
1614421636;1.00;1.00;;;;26.00;35.42;99370.00;0.00;;;;
1614421646;1.00;1.00;;;;25.98;35.44;99370.00;0.00;;;;
1614421656;1.00;1.00;;;;25.98;35.45;99369.00;0.00;;;;
1614421729;1.00;1.00;;;;25.97;35.44;99365.00;0.00;;;;
1614421729;1.00;1.00;;;;25.97;35.44;99365.00;0.00;;;;
1614421739;1.00;1.00;;;;25.97;35.45;99365.00;0.00;;;;
1614421749;1.00;1.00;;;;25.96;35.38;99366.00;0.00;;;;
1614421759;1.00;1.00;;;;25.96;35.41;99365.00;0.00;;;;
1614421769;1.00;1.00;;;;25.96;35.35;99365.00;0.00;;;;
1614421779;1.00;1.00;;;;25.96;35.38;99365.00;0.00;;;;
1614421789;1.00;1.00;;;;25.96;35.42;99362.00;0.00;;;;
1614421799;1.00;1.00;;;;25.95;35.37;99364.00;0.00;;;;
1614421809;1.00;1.00;;;;25.95;35.35;99366.00;0.00;;;;
1614421819;1.00;1.00;;;;25.95;35.39;99365.00;0.00;;;;
1614421829;1.00;1.00;;;;25.95;35.36;99367.00;0.00;;;;
1614421839;1.00;1.00;;;;25.95;35.37;99367.00;0.00;;;;
1614421849;1.00;1.00;;;;25.94;35.36;99368.00;0.00;;;;
1614421859;1.00;1.00;;;;25.94;35.33;99368.00;0.00;;;;
1614421869;1.00;1.00;;;;25.93;35.34;99365.00;0.00;;;;
1614421879;1.00;1.00;;;;25.93;35.37;99366.00;0.00;;;;
1614421889;1.00;1.00;;;;25.93;35.40;99367.00;0.00;;;;
1614421899;1.00;1.00;;;;25.93;35.38;99367.00;0.00;;;;
1614421909;1.00;1.00;;;;25.93;35.36;99367.00;0.00;;;;
1614421919;1.00;1.00;;;;25.93;35.39;99368.00;0.00;;;;
1614421929;1.00;1.00;;;;25.92;35.40;99369.00;0.00;;;;
1614421939;1.00;1.00;;;;25.93;35.40;99368.00;0.00;;;;
1614421949;1.00;1.00;;;;25.91;35.41;99368.00;0.00;;;;
1614421959;1.00;1.00;;;;25.92;35.44;99371.00;0.00;;;;
1614421969;1.00;1.00;;;;25.92;35.35;99371.00;0.00;;;;
1614421979;1.00;1.00;;;;25.92;35.37;99369.00;0.00;;;;
1614421989;1.00;1.00;;;;25.91;35.39;99368.00;0.00;;;;
1614421999;1.00;1.00;;;;25.92;35.34;99369.00;0.00;;;;
1614422009;1.00;1.00;;;;25.91;35.35;99368.00;0.00;;;;
1614422019;1.00;1.00;;;;25.90;35.35;99370.00;0.00;;;;
1614422029;1.00;1.00;;;;25.90;35.39;99366.00;0.00;;;;
1614422039;1.00;1.00;;;;25.90;35.33;99370.00;0.00;;;;
1614422049;1.00;1.00;;;;25.90;35.34;99371.00;0.00;;;;
1614422059;1.00;1.00;;;;25.90;35.35;99371.00;0.00;;;;
1614422069;1.00;1.00;;;;25.89;35.35;99367.00;0.00;;;;
1614422079;1.00;1.00;;;;25.90;35.34;99367.00;0.00;;;;
1614422089;1.00;1.00;;;;25.90;35.37;99372.00;0.00;;;;
1614422099;1.00;1.00;;;;25.89;35.39;99368.00;0.00;;;;
1614422109;1.00;1.00;;;;25.88;35.34;99366.00;0.00;;;;
1614422119;1.00;1.00;;;;25.88;35.38;99369.00;0.00;;;;
1614422129;1.00;1.00;;;;25.88;35.39;99367.00;0.00;;;;
1614422139;1.00;1.00;;;;25.87;35.41;99367.00;0.00;;;;
1614422149;1.00;1.00;;;;25.88;35.40;99367.00;0.00;;;;
1614422159;1.00;1.00;;;;25.87;35.36;99367.00;0.00;;;;
1614422169;1.00;1.00;;;;25.88;35.36;99369.00;0.00;;;;
1614422179;1.00;1.00;;;;25.87;35.36;99368.00;0.00;;;;
1614422189;1.00;1.00;;;;25.87;35.40;99368.00;0.00;;;;
1614422199;1.00;1.00;;;;25.87;35.38;99368.00;0.00;;;;
1614422209;1.00;1.00;;;;25.87;35.41;99370.00;0.00;;;;
